type,file,line,key,detail
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/demos.jsonl",1,"id","ID ""bankroll_and_variance_management:demo:01"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/demos.jsonl",1,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/demos.jsonl",2,"id","ID ""bankroll_and_variance_management:demo:02"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/demos.jsonl",2,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/demos.jsonl",3,"id","ID ""bankroll_and_variance_management:demo:03"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/demos.jsonl",3,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",1,"id","ID ""bankroll_and_variance_management:drill:01"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",1,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",2,"id","ID ""bankroll_and_variance_management:drill:02"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",2,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",3,"id","ID ""bankroll_and_variance_management:drill:03"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",3,"title","Missing required key: title"
